year,population_万人,人均CO2_tCO2每人
2010,7869.34,7.161979510567195
2011,8022.99,8.125816213989992
2012,8119.81,8.313324249522136
2013,8192.44,8.147679530972603
2014,8281.09,7.831490303822327
2015,8315.11,7.946354281677239
2016,8381.47,8.175907647730192
2017,8423.5,8.363691742464779
2018,8446.19,8.465592516861209
2019,8469.09,8.74903101524588
2020,8477.26,8.568018941502395
