year,人口,活动(GDP/人),能效(E/GDP),碳因子(CO2/E)
2017,347.56803575313586,4482.090976055386,-3174.5746057957763,270.34831441810036
2018,190.92641489608098,4412.001946184188,-2993.8849370686116,-558.5979566757497
2019,197.09109100558283,3941.308848714019,-2182.5948916977823,638.5231728989723
2020,70.73745377740087,2562.8212148733073,-4453.167501133463,356.60200361462563
合计,806.3229954322005,15398.2229858269,-12804.221935695634,706.8755342559487
