year,co2_万tCO2,gdp_亿元,energy_万tce,population_万人,人均CO2_tCO2_人,碳强度_tCO2_万元,能源强度_tce_万元,观测排放因子_tCO2_tce,能源效率_GDP_能源,非化石占比,电力占比
2010,,,,,,,,,,,
2011,0.1567296355547203,0.11040001817133094,0.14107086211259712,0.019525144421260077,0.13457685853480839,0.04172335791176174,0.02762143681497453,0.013722875556678726,-0.026879000209050652,,-0.08978330080109154
2012,0.03542188617671038,0.10244349346555626,0.0424121817599199,0.01206782010198193,0.023075593958095775,-0.060793689369204706,-0.054452960230121694,-0.00670588439537223,0.05758884321966051,,0.027286167325213606
2013,-0.011158644682570884,0.0971158818954525,0.007281852144376488,0.008944790580075246,-0.019925208445833786,-0.09869014601352855,-0.08188198825075121,-0.018307186600939773,0.08918460067540246,,0.01563109661168527
2014,-0.028406253045064833,0.08598975424841737,-0.0011558483027922506,0.010820951999648498,-0.03880727340199297,-0.10533801709082646,-0.08024532663433881,-0.027281938524613136,0.08724644620798361,,0.3483607603834471
2015,0.018835346271208975,0.08602748568036511,0.03063850933010981,0.004108154844350231,0.014666937377021405,-0.06186964906055048,-0.05100144985332089,-0.011452282203750164,0.05374238964373346,,-0.1360740739987727
2016,0.03709908091930103,0.07800992843683363,0.03149345226669098,0.007980652089990325,0.028887884672126773,-0.037950343905324924,-0.043150322592662604,0.005434478173653723,0.04509623989170608,,0.11938999407340645
2017,0.028097790873783612,0.07197967573872655,0.02410546287400739,0.005014633471216889,0.022967981394300674,-0.040935370192259346,-0.04465962736814766,0.0038983563163235146,0.04674734644063605,,0.28656469621627334
2018,0.014910180927319994,0.0670014909460579,0.02292933798108776,0.0026936546566154185,0.012183707570073699,-0.04882027856638793,-0.04130467795869086,-0.007839404693969265,0.043084259419085,,0.3749978269880636
2019,0.03628329441345657,0.05850000978820602,0.02723282080822842,0.0027112816548051644,0.03348123569852168,-0.020988866480213586,-0.029539148503393897,0.00881053780788199,0.030438269053140843,,0.19626354377492516
2020,-0.019744659519924435,0.03655004747276114,-0.024497950476916053,0.0009646845174628993,-0.020689385307705144,-0.05430968541262349,-0.05889536940210449,0.004872661169000425,0.0625811068049762,,0.15143579677263896
