year,人口,活动(GDP/人),能效(E/GDP),碳因子(CO2/E)
2012,795.8024240243178,5674.401112035667,-3714.557089477244,-446.3752987500761
2013,597.7522466526898,5623.7425856279715,-5734.469473154965,-1240.263036916775
2014,708.1591122438267,4719.534236955889,-5503.788422708648,-1820.004583132276
2015,268.3777300034579,5133.985838801543,-3426.8128212731112,-754.0168364945972
合计,2370.091512924292,21151.66377342107,-18379.627806613968,-4260.659755293725
