主题,项目,子项,单位,细分项,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
能耗品种结构,煤炭消费量,总量,万tce,-,17982.693769569978,21012.329657998143,21174.771511904954,21223.47361456582,20543.236004181847,20859.108377744113,21450.192454618827,21061.46870905894,20652.086988407213,21069.32235282194,20292.669091487325
能耗品种结构,煤炭消费量,子项,万tce,发电,9335.692325417775,10969.992812619477,11409.4251813718,11937.158196325423,11082.27862724599,11319.730619722344,12021.387279901712,11846.609169324262,11649.975645588496,11635.91065259895,11305.034139737198
能耗品种结构,煤炭消费量,子项,万tce,供热,1840.9646671130974,1984.625619296651,2145.507833756262,2156.5214097092494,2208.012192102314,2307.728107909197,2232.611580782735,2439.1511808684622,2826.7610133570997,2746.921979691224,2784.187106078816
能耗品种结构,煤炭消费量,子项,万tce,其他加工转换,-646.4671065639184,160.7561630854404,55.89116292973678,-891.0530111797545,-1159.796991985546,-1200.5898619976474,-1261.9564825997961,-1526.3681822992824,-1793.4338535678505,-2178.3331422374818,-2119.8830885591747
能耗品种结构,煤炭消费量,子项,万tce,损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
能耗品种结构,煤炭消费量,子项,万tce,其他消费,7452.503883603022,7896.955062996578,7563.947333847157,8020.8470197109,8412.742176819089,8432.239512110222,8458.150076534179,8302.076541165497,7968.784183029469,8864.822862769248,8323.330934230484
能耗品种结构,油品消费量,总量,万tce,-,3748.3574068392713,3748.1874197125494,4295.950603176381,4094.5802170245943,4426.077523961096,4476.004455068714,4588.353732242457,4514.0092812129715,4712.8383522246595,4731.963093909097,4699.904189618373
能耗品种结构,油品消费量,子项,万tce,发电,4.930197827516304,6.82343344918139,5.288219187140487,4.0852522738774,2.3442324572380007,2.3528004736007304,1.9102405988307762,2.342804314719483,6.963854340345592,8.494244737004681,7.119629798802939
能耗品种结构,油品消费量,子项,万tce,供热,4.073406619649187,5.203270099045826,3.7176028319837195,4.863820699053569,2.224537324029817,2.186248462486423,1.5642589132962315,4.401917981599565,13.601286940605462,12.324906747500178,9.36813934009643
能耗品种结构,油品消费量,子项,万tce,其他加工转换,147.60078775120326,115.2626746739545,195.0967056326558,155.08004876143912,212.0715603379174,158.66301177799187,182.07820873627247,147.2080953765053,190.91034608844916,250.3863634655811,253.9828986431818
能耗品种结构,油品消费量,子项,万tce,损失,16.346281492698267,13.451808030538277,10.448012505182442,19.943467274201495,18.540059432743842,19.011489904725078,19.322919795326907,9.36860231451452,9.700032449039016,9.382888072554337,7.271450842266462
能耗品种结构,油品消费量,子项,万tce,其他消费,3575.4067331482042,3607.4462334598297,4081.4000630194187,3910.6076280160223,4190.897134409167,4293.790904449911,4383.478104198732,4350.687861225632,4491.66283240622,4451.374690886457,4422.162070994024
能耗品种结构,天然气消费量,总量,万tce,-,959.1909520000002,1246.41308,1504.3685799999998,1654.8918560000002,1698.284052,2193.58332,2295.722588,3158.993712,3669.68384,3827.959204,3707.4125960000006
能耗品种结构,天然气消费量,子项,万tce,发电,324.387,478.26800000000003,584.5350000000001,561.792,485.45000000000005,769.4050000000001,790.8180000000001,1506.757,1538.283056,1483.625312,1085.56852
能耗品种结构,天然气消费量,子项,万tce,供热,37.639,41.363,5.852,17.157,27.930000000000003,49.21000000000001,85.918,124.22200000000001,241.50864,247.199756,243.839612
能耗品种结构,天然气消费量,子项,万tce,其他加工转换,0.0,0.0,0.0,0.0,0.3998400000000002,0.11721599999999999,0.059660000000000046,0.042404,0.0,0.2681039999999999,0.1451
能耗品种结构,天然气消费量,子项,万tce,损失,11.704,0.532,21.28,22.876,29.526000000000003,28.861,0.0,32.319,39.368,43.358,38.969
能耗品种结构,天然气消费量,子项,万tce,其他消费,585.460952,726.25008,892.7015799999999,1053.066856,1154.978212,1345.9901039999997,1418.9269279999999,1495.653308,1850.5241440000004,2053.508032,2338.8903640000003
能耗品种结构,新能源热力,总量,万tce,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
能耗品种结构,新能源电力,总量,万tce,-,238.97902667774915,248.20881577700294,265.7958040606676,271.91622346336845,366.21738426040474,326.0782481776313,376.50411325651044,496.07351158758894,697.7401019067037,857.4117663241537,963.0688860129483
能耗品种结构,外地调入电,总量,万tce,-,448.68327621245896,428.57683817467057,519.301609320731,678.0023638329333,816.940800273764,846.473667391616,921.2337300956915,1097.6812428759663,1264.4073666049633,1349.3189683183377,1420.9327913294587
能耗品种结构,其他新能源,总量,万tce,-,161.41,176.31,239.02999999999997,280.24,319.75,332.36,315.96999999999997,341.66,376.37,391.53000000000003,354.01
